question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
Differentiate between the theoretical and practical aspects of Discrete Math.,Mathematics,Discrete Math,16.27,0.16,1297.0,211.0,18.6,Analyze,Hard
State the primary theorem in Genetics.,Biology,Genetics,48.16,0.48,1358.0,654.0,5.2,Remember,Medium
Compare and contrast the primary approaches to Econometrics.,Economics,Econometrics,53.45,0.53,1527.0,816.0,7.5,Analyze,Moderate
Explain how Cell Biology functions in modern applications.,Biology,Cell Biology,47.02,0.47,993.0,466.0,6.2,Understand,Medium
Demonstrate the use of Discrete Math in solving a standard Mathematics problem.,Mathematics,Discrete Math,68.17,0.68,2159.0,1471.0,6.5,Apply,Moderate
List the main components of Probability.,Mathematics,Probability,44.41,0.44,1228.0,545.0,11.2,Remember,Medium
Use the standard model of Microeconomics to predict future states.,Economics,Microeconomics,65.12,0.65,2244.0,1461.0,10.1,Apply,Medium
Argue the ethical implications of recent discoveries in Econometrics.,Economics,Econometrics,10.97,0.11,950.0,104.0,19.7,Evaluate,Hard
Demonstrate the use of Optimization in solving a standard Mathematics problem.,Mathematics,Optimization,76.83,0.77,1808.0,1389.0,1.8,Apply,Easy
Assess the validity of the dominant theory in Cell Biology.,Biology,Cell Biology,40.5,0.4,2149.0,870.0,9.2,Evaluate,Medium
Calculate the expected outcome using principles of Discrete Math.,Mathematics,Discrete Math,24.47,0.24,710.0,173.0,21.0,Apply,Hard
State the primary theorem in Ecology.,Biology,Ecology,62.36,0.62,1331.0,829.0,9.2,Remember,Moderate
Define the core principles of Calculus.,Mathematics,Calculus,14.04,0.14,2029.0,284.0,21.6,Remember,Hard
Justify the use of Optics over alternative methods.,Physics,Optics,31.51,0.32,1501.0,472.0,14.9,Evaluate,Hard
Critically examine the role of SQL Queries in the current socio-political scenario.,Computer Science,SQL Queries,32.0,0.32,329.0,105.0,15.0,Evaluate,Hard
Assess the validity of the dominant theory in Discrete Math.,Mathematics,Discrete Math,39.18,0.39,2022.0,792.0,23.0,Evaluate,Hard
Recall the definition of Optics in the context of Physics.,Physics,Optics,41.04,0.41,1279.0,524.0,7.3,Remember,Moderate
Justify the use of Optimization over alternative methods.,Mathematics,Optimization,48.57,0.49,1952.0,948.0,8.2,Evaluate,Medium
Interpret the significance of Operating Systems in Computer Science.,Computer Science,Operating Systems,47.42,0.47,1447.0,686.0,11.5,Understand,Moderate
Draft a detailed overview of the mathematical foundations of Data Representation.,Computer Science,Data Representation,36.35,0.33,412.0,135.0,18.0,Create,Hard
Summarize the key findings related to Discrete Math.,Mathematics,Discrete Math,95.56,0.96,1403.0,1340.0,3.7,Understand,Easy
Discuss the foundational theories of Genetics.,Biology,Genetics,72.65,0.73,1232.0,895.0,8.6,Understand,Medium
State the primary theorem in Optimization.,Mathematics,Optimization,69.76,0.7,483.0,336.0,9.9,Remember,Moderate
Explain how Thermodynamics functions in modern applications.,Physics,Thermodynamics,88.64,0.89,1484.0,1315.0,4.1,Understand,Easy
Identify the key characteristics of Quantum Mechanics.,Physics,Quantum Mechanics,80.59,0.81,1176.0,947.0,2.9,Remember,Easy
How does Material Science affect the global economy or environment?,Science,Material Science,48.25,0.53,2941.0,1558.0,18.0,Remember,Medium
Use the standard model of Optics to predict future states.,Physics,Optics,56.16,0.56,945.0,530.0,5.1,Apply,Medium
Analyze the relationship between Probability and related phenomena.,Mathematics,Probability,57.92,0.58,1684.0,975.0,9.5,Analyze,Medium
Recall the definition of Genetics in the context of Biology.,Biology,Genetics,58.35,0.58,1189.0,693.0,11.3,Remember,Moderate
Summarize the key findings related to Optics.,Physics,Optics,92.58,0.93,2205.0,2041.0,2.9,Understand,Easy
Argue the ethical implications of recent discoveries in Evolution.,Biology,Evolution,33.26,0.33,654.0,217.0,12.5,Evaluate,Hard
Deconstruct the arguments surrounding Algorithms in contemporary literature.,Computer Science,Algorithms,89.25,0.89,2131.0,1901.0,4.9,Analyze,Easy
State the primary theorem in Data Structures.,Computer Science,Data Structures,79.3,0.79,1482.0,1175.0,4.5,Remember,Easy
Formulate a hypothesis regarding the future trajectory of Networking.,Computer Science,Networking,20.68,0.21,2209.0,456.0,13.2,Create,Hard
Discuss the foundational theories of Microeconomics.,Economics,Microeconomics,88.92,0.89,1211.0,1076.0,2.8,Understand,Easy
Calculate the expected outcome using principles of Probability.,Mathematics,Probability,85.58,0.86,1865.0,1596.0,1.3,Apply,Easy
Assess the validity of the dominant theory in Optics.,Physics,Optics,66.15,0.66,2499.0,1653.0,11.8,Evaluate,Moderate
Explain how Optimization functions in modern applications.,Mathematics,Optimization,78.48,0.78,2490.0,1954.0,1.5,Understand,Easy
Assess the validity of the dominant theory in Discrete Math.,Mathematics,Discrete Math,50.55,0.51,972.0,491.0,8.2,Evaluate,Medium
Execute a procedure based on Thermodynamics guidelines.,Physics,Thermodynamics,38.48,0.38,1817.0,699.0,20.0,Apply,Hard
List the main components of Probability.,Mathematics,Probability,59.15,0.59,1378.0,815.0,8.9,Remember,Moderate
Justify the use of Physiology over alternative methods.,Biology,Physiology,13.65,0.14,2414.0,329.0,23.5,Evaluate,Hard
Differentiate between the theoretical and practical aspects of Microeconomics.,Economics,Microeconomics,13.12,0.13,2538.0,332.0,22.3,Analyze,Hard
Interpret the significance of Operating Systems in Computer Science.,Computer Science,Operating Systems,70.14,0.7,982.0,688.0,6.7,Understand,Moderate
Calculate the expected outcome using principles of Linear Algebra.,Mathematics,Linear Algebra,80.32,0.8,1408.0,1130.0,4.5,Apply,Easy
Interpret the significance of Macroeconomics in Economics.,Economics,Macroeconomics,96.3,0.96,1974.0,1901.0,1.7,Understand,Easy
Examine the underlying metrics of Electromagnetism.,Physics,Electromagnetism,56.11,0.56,1011.0,567.0,11.3,Analyze,Moderate
Justify the use of Networking over alternative methods.,Computer Science,Networking,50.57,0.51,1729.0,874.0,11.7,Evaluate,Medium
Evaluate the impact of Probability on current technological advancements.,Mathematics,Probability,37.73,0.38,1769.0,667.0,17.8,Evaluate,Hard
What are the most common misconceptions about Reproductive System?,Biology,Reproductive System,88.75,0.9,1267.0,1140.0,20.0,Remember,Moderate
Recall the definition of Classical Mechanics in the context of Physics.,Physics,Classical Mechanics,52.59,0.53,1261.0,663.0,6.0,Remember,Medium
Demonstrate the use of Classical Mechanics in solving a standard Physics problem.,Physics,Classical Mechanics,32.91,0.33,1727.0,568.0,25.0,Apply,Hard
State the primary theorem in Genetics.,Biology,Genetics,66.95,0.67,1668.0,1116.0,7.9,Remember,Moderate
Interpret the significance of Macroeconomics in Economics.,Economics,Macroeconomics,91.47,0.91,1289.0,1179.0,3.9,Understand,Easy
Identify the key characteristics of Probability.,Mathematics,Probability,71.84,0.72,1663.0,1194.0,6.0,Remember,Moderate
Explain how Evolution functions in modern applications.,Biology,Evolution,83.19,0.83,1422.0,1182.0,4.2,Understand,Easy
Demonstrate the use of Data Structures in solving a standard Computer Science problem.,Computer Science,Data Structures,13.85,0.14,1769.0,244.0,12.6,Apply,Hard
Calculate the expected outcome using principles of Probability.,Mathematics,Probability,57.86,0.58,1574.0,910.0,11.1,Apply,Moderate
Argue the ethical implications of recent discoveries in Evolution.,Biology,Evolution,39.9,0.4,494.0,197.0,19.8,Evaluate,Hard
Use the standard model of Public Finance to predict future states.,Economics,Public Finance,44.52,0.45,1032.0,459.0,8.0,Apply,Moderate
Execute a procedure based on Classical Mechanics guidelines.,Physics,Classical Mechanics,53.7,0.54,305.0,163.0,7.7,Apply,Moderate
Examine the underlying metrics of Machine Learning.,Computer Science,Machine Learning,87.84,0.88,1545.0,1357.0,2.8,Analyze,Easy
Solve a comprehensive problem involving the core principles of Ancient Greece.,History,Ancient Greece,71.38,0.71,1020.0,724.0,2.0,Understand,Medium
Design a novel experiment to further test the boundaries of Machine Learning.,Computer Science,Machine Learning,60.81,0.61,1222.0,743.0,7.4,Create,Medium
Summarize the key findings related to Optimization.,Mathematics,Optimization,71.34,0.71,1149.0,819.0,9.5,Understand,Medium
Use the standard model of Probability to predict future states.,Mathematics,Probability,42.26,0.42,3062.0,1293.0,6.4,Apply,Moderate
Design a novel experiment to further test the boundaries of Optimization.,Mathematics,Optimization,15.17,0.15,1241.0,188.0,12.8,Create,Hard
Recall the definition of Physiology in the context of Biology.,Biology,Physiology,83.81,0.84,1377.0,1154.0,1.2,Remember,Easy
Evaluate the impact of Thermodynamics on current technological advancements.,Physics,Thermodynamics,34.88,0.35,1482.0,516.0,22.7,Evaluate,Hard
Propose a new architecture integrating Algorithms.,Computer Science,Algorithms,29.6,0.3,1135.0,335.0,16.1,Create,Hard
Critique the methodology used to study Operating Systems.,Computer Science,Operating Systems,47.71,0.48,1568.0,748.0,7.7,Evaluate,Medium
Propose a new architecture integrating Discrete Math.,Mathematics,Discrete Math,31.19,0.31,1418.0,442.0,20.0,Create,Hard
Apply the concepts of Probability to a real-world scenario.,Mathematics,Probability,64.25,0.64,1400.0,899.0,6.2,Apply,Moderate
Evaluate the impact of Linear Algebra on current technological advancements.,Mathematics,Linear Algebra,88.11,0.88,1165.0,1026.0,1.7,Evaluate,Easy
Apply the concepts of Ecology to a real-world scenario.,Biology,Ecology,58.83,0.59,966.0,568.0,11.2,Apply,Moderate
Differentiate between the theoretical and practical aspects of Classical Mechanics.,Physics,Classical Mechanics,63.06,0.63,1167.0,735.0,11.1,Analyze,Medium
"Explain the theme, characters and message related to Grammar.",English,Grammar,0.552,58.23,2285.0,1330.0,7.0,Understand,Moderate
Justify the use of Microeconomics over alternative methods.,Economics,Microeconomics,21.78,0.22,1686.0,367.0,15.8,Evaluate,Hard
State the primary theorem in Genetics.,Biology,Genetics,54.3,0.54,1616.0,877.0,6.6,Remember,Medium
List the main components of Quantum Mechanics.,Physics,Quantum Mechanics,96.03,0.96,1408.0,1352.0,1.7,Remember,Easy
Compare and contrast the primary theories of Cybersecurity. - Perspective 866,Computer Science,Cybersecurity,64.68,0.68,2345.0,1594.0,17.0,Understand,Medium
Examine the underlying metrics of Optics.,Physics,Optics,17.72,0.18,1796.0,318.0,18.1,Analyze,Hard
Argue the ethical implications of recent discoveries in Game Theory.,Economics,Game Theory,42.7,0.43,2138.0,912.0,5.1,Evaluate,Moderate
Summarize the key findings related to Discrete Math.,Mathematics,Discrete Math,74.76,0.75,2073.0,1549.0,7.6,Understand,Moderate
Discuss the ethical challenges associated with Ancient Greece.,History,Ancient Greece,55.61,0.51,1905.0,971.0,1.0,Analyze,Moderate
Calculate the expected outcome using principles of Evolution.,Biology,Evolution,49.48,0.49,744.0,368.0,5.2,Apply,Moderate
Describe the mechanism behind Cell Biology.,Biology,Cell Biology,64.65,0.65,1298.0,839.0,10.8,Understand,Moderate
Why is Cell Structure and Functions considered essential for the functioning of the system?,Biology,Cell Structure and Functions,62.1,0.62,356.0,221.0,7.0,Analyze,Medium
Develop an innovative algorithm based on Linear Algebra principles.,Mathematics,Linear Algebra,21.4,0.21,2953.0,631.0,23.1,Create,Hard
Analyze the relationship between Reproductive System and the wider Biology field. - Perspective 726,Biology,Reproductive System,47.49,0.46,544.0,250.0,13.0,Analyze,Moderate
Discuss the foundational theories of Machine Learning.,Computer Science,Machine Learning,62.45,0.62,619.0,386.0,6.7,Understand,Medium
Formulate a hypothesis regarding the future trajectory of Probability.,Mathematics,Probability,66.6,0.67,917.0,610.0,7.5,Create,Moderate
Deconstruct the arguments surrounding Calculus in contemporary literature.,Mathematics,Calculus,23.37,0.23,924.0,215.0,13.0,Analyze,Hard
Argue the ethical implications of recent discoveries in Data Structures.,Computer Science,Data Structures,70.53,0.71,1837.0,1295.0,11.4,Evaluate,Medium
Analyze the relationship between Physiology and related phenomena.,Biology,Physiology,25.2,0.25,2325.0,585.0,24.1,Analyze,Hard
Use the standard model of Machine Learning to predict future states.,Computer Science,Machine Learning,52.37,0.52,1965.0,1029.0,5.9,Apply,Moderate
Design a novel experiment to further test the boundaries of Thermodynamics.,Physics,Thermodynamics,74.86,0.75,1456.0,1089.0,9.6,Create,Moderate
Interpret the significance of Operating Systems in Computer Science.,Computer Science,Operating Systems,68.91,0.69,1657.0,1141.0,6.1,Understand,Moderate
Calculate the expected outcome using principles of Ecology.,Biology,Ecology,47.07,0.47,782.0,368.0,8.7,Apply,Medium
Examine the underlying metrics of Electromagnetism.,Physics,Electromagnetism,63.28,0.63,1370.0,866.0,10.5,Analyze,Medium
List the main components of Data Structures.,Computer Science,Data Structures,55.94,0.56,2245.0,1255.0,6.4,Remember,Medium
Describe a real-world application of Ancient Greece in industry or daily life.,History,Ancient Greece,18.91,0.2,1922.0,384.0,4.0,Create,Hard
Calculate the expected outcome using principles of Evolution.,Biology,Evolution,62.87,0.63,1395.0,877.0,9.2,Apply,Medium
Critique the methodology used to study Evolution.,Biology,Evolution,36.89,0.37,1153.0,425.0,12.8,Evaluate,Hard
Deconstruct the arguments surrounding Ecology in contemporary literature.,Biology,Ecology,60.73,0.61,546.0,331.0,11.1,Analyze,Medium
Use the standard model of Data Structures to predict future states.,Computer Science,Data Structures,47.41,0.47,1952.0,925.0,9.2,Apply,Medium
Examine the underlying metrics of Thermodynamics.,Physics,Thermodynamics,40.85,0.41,2117.0,864.0,12.0,Analyze,Medium
Analyze the relationship between Microeconomics and related phenomena.,Economics,Microeconomics,78.13,0.78,885.0,691.0,1.8,Analyze,Easy
Interpret the significance of Algorithms in Computer Science.,Computer Science,Algorithms,53.26,0.53,2256.0,1201.0,5.7,Understand,Moderate
Use the standard model of Quantum Mechanics to predict future states.,Physics,Quantum Mechanics,59.08,0.59,1165.0,688.0,6.2,Apply,Medium
Evaluate the impact of Genetics on current technological advancements.,Biology,Genetics,26.79,0.27,871.0,233.0,17.1,Evaluate,Hard
Apply the concepts of Optimization to a real-world scenario.,Mathematics,Optimization,54.03,0.54,1745.0,942.0,7.7,Apply,Medium
Predict the future trends of Surface Chemistry over the next decade.,Chemistry,Surface Chemistry,47.54,0.5,331.0,165.0,11.0,Apply,Easy
Calculate the expected outcome using principles of Data Structures.,Computer Science,Data Structures,64.71,0.65,1290.0,834.0,8.2,Apply,Moderate
Differentiate between the theoretical and practical aspects of Classical Mechanics.,Physics,Classical Mechanics,72.03,0.72,2055.0,1480.0,5.5,Analyze,Medium
Predict the future trends of Trigonometry over the next decade. - Perspective 366,Maths,Trigonometry,65.74,0.61,455.0,277.0,4.0,Remember,Easy
Summarize the key findings related to Data Structures.,Computer Science,Data Structures,72.94,0.73,838.0,611.0,8.1,Understand,Moderate
Differentiate between the theoretical and practical aspects of Game Theory.,Economics,Game Theory,67.57,0.68,1237.0,835.0,9.7,Analyze,Moderate
State the primary theorem in Discrete Math.,Mathematics,Discrete Math,47.63,0.48,1666.0,793.0,7.0,Remember,Moderate
Discuss the foundational theories of Microeconomics.,Economics,Microeconomics,75.42,0.75,1684.0,1270.0,1.1,Understand,Easy
Explain how Thermodynamics functions in modern applications.,Physics,Thermodynamics,79.46,0.79,1871.0,1486.0,2.6,Understand,Easy
Execute a procedure based on Networking guidelines.,Computer Science,Networking,73.31,0.73,1190.0,872.0,5.8,Apply,Medium
Define the core principles of Data Structures.,Computer Science,Data Structures,59.51,0.6,1672.0,994.0,9.8,Remember,Moderate
Identify the key characteristics of Microeconomics.,Economics,Microeconomics,95.38,0.95,1799.0,1715.0,4.5,Remember,Easy
Discuss the ethical challenges associated with Trigonometry.,Mathematics,Trigonometry,80.95,0.85,2115.0,1797.0,19.0,Remember,Easy
Assess the validity of the dominant theory in Operating Systems.,Computer Science,Operating Systems,67.74,0.68,848.0,574.0,6.1,Evaluate,Moderate
Demonstrate the use of Discrete Math in solving a standard Mathematics problem.,Mathematics,Discrete Math,74.74,0.75,1019.0,761.0,9.9,Apply,Moderate
Demonstrate the use of Public Finance in solving a standard Economics problem.,Economics,Public Finance,46.92,0.47,1547.0,725.0,11.5,Apply,Moderate
Recall the definition of Evolution in the context of Biology.,Biology,Evolution,23.37,0.23,1803.0,421.0,15.8,Remember,Hard
Explain how Microeconomics functions in modern applications.,Economics,Microeconomics,78.43,0.78,2533.0,1986.0,2.6,Understand,Easy
Differentiate between the theoretical and practical aspects of Econometrics.,Economics,Econometrics,63.6,0.64,1380.0,877.0,5.8,Analyze,Moderate
List the main components of Public Finance.,Economics,Public Finance,51.53,0.52,1661.0,855.0,10.4,Remember,Moderate
Interpret the significance of Physiology in Biology.,Biology,Physiology,55.8,0.56,564.0,314.0,11.1,Understand,Moderate
Interpret the significance of Physiology in Biology.,Biology,Physiology,22.21,0.22,1348.0,299.0,21.1,Understand,Hard
Define the core principles of Macroeconomics.,Economics,Macroeconomics,50.37,0.5,611.0,307.0,6.5,Remember,Moderate
Analyze the relationship between Econometrics and related phenomena.,Economics,Econometrics,81.08,0.81,858.0,695.0,1.3,Analyze,Easy
Execute a procedure based on Electromagnetism guidelines.,Physics,Electromagnetism,59.3,0.59,2445.0,1449.0,8.5,Apply,Medium
Explain how Data Structures functions in modern applications.,Computer Science,Data Structures,92.68,0.93,1290.0,1195.0,1.4,Understand,Easy
Analyze the relationship between Optics and related phenomena.,Physics,Optics,72.89,0.73,747.0,544.0,6.5,Analyze,Medium
What are the most common misconceptions about Earth's layers?,Geography,Earth's layers,20.95,0.22,2703.0,594.0,12.0,Remember,Moderate
Recall the definition of Ecology in the context of Biology.,Biology,Ecology,89.98,0.9,2160.0,1943.0,3.0,Remember,Easy
Describe a real-world application of Sociology in industry or daily life.,Social Science,Sociology,76.65,0.8,1387.0,1109.0,18.0,Create,Medium
Identify the key characteristics of Microeconomics.,Economics,Microeconomics,46.43,0.46,1901.0,882.0,11.2,Remember,Moderate
List the main components of Algorithms.,Computer Science,Algorithms,67.33,0.67,907.0,610.0,6.8,Remember,Moderate
Describe the mechanism behind Cell Biology.,Biology,Cell Biology,42.05,0.42,1123.0,472.0,10.6,Understand,Moderate
Evaluate the impact of Data Structures on current technological advancements.,Computer Science,Data Structures,41.05,0.41,1450.0,595.0,8.8,Evaluate,Moderate
Discuss the foundational theories of Calculus.,Mathematics,Calculus,54.12,0.54,1752.0,948.0,5.6,Understand,Moderate
Use the standard model of Econometrics to predict future states.,Economics,Econometrics,51.93,0.52,1389.0,721.0,5.7,Apply,Medium
Summarize the key findings related to Econometrics.,Economics,Econometrics,96.82,0.97,1882.0,1822.0,4.2,Understand,Easy
Differentiate between the theoretical and practical aspects of Public Finance.,Economics,Public Finance,57.64,0.58,1076.0,620.0,6.8,Analyze,Medium
List the main components of Linear Algebra.,Mathematics,Linear Algebra,61.1,0.61,1755.0,1072.0,7.3,Remember,Moderate
Compare and contrast the primary approaches to Genetics.,Biology,Genetics,64.1,0.64,995.0,637.0,6.7,Analyze,Moderate
Predict the future trends of Human Nervous System over the next decade.,Biology,Human Nervous System,58.84,0.59,2087.0,1231.0,15.0,Create,Easy
Interpret the significance of Quantum Mechanics in Physics.,Physics,Quantum Mechanics,59.74,0.6,2266.0,1353.0,6.1,Understand,Medium
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,67.49,0.67,1789.0,1207.0,9.7,Create,Medium
Apply the concepts of Electromagnetism to a real-world scenario.,Physics,Electromagnetism,28.39,0.28,1518.0,430.0,12.5,Apply,Hard
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,51.85,0.52,1200.0,622.0,10.2,Apply,Medium
Define the core principles of Machine Learning.,Computer Science,Machine Learning,60.98,0.61,2058.0,1254.0,10.2,Remember,Moderate
Differentiate between the theoretical and practical aspects of Discrete Math.,Mathematics,Discrete Math,45.62,0.46,690.0,314.0,8.3,Analyze,Moderate
Apply the concepts of Probability to a real-world scenario.,Mathematics,Probability,59.3,0.59,1333.0,790.0,7.7,Apply,Medium
Develop an innovative algorithm based on Calculus principles.,Mathematics,Calculus,49.97,0.5,1305.0,652.0,5.9,Create,Medium
Deconstruct the arguments surrounding Game Theory in contemporary literature.,Economics,Game Theory,48.69,0.49,1393.0,678.0,11.4,Analyze,Moderate
Explain how Public Finance functions in modern applications.,Economics,Public Finance,97.17,0.97,1244.0,1208.0,1.6,Understand,Easy
Propose a new architecture integrating Discrete Math.,Mathematics,Discrete Math,11.35,0.11,1418.0,160.0,20.2,Create,Hard
Compare and contrast the primary approaches to Genetics.,Biology,Genetics,70.73,0.71,1918.0,1356.0,6.8,Analyze,Medium
Analyze the relationship between Mobile App Development and the wider Computer Science field.,Computer Science,Mobile App Development,23.49,0.21,1213.0,254.0,16.0,Understand,Easy
Deconstruct the arguments surrounding Probability in contemporary literature.,Mathematics,Probability,66.4,0.66,1843.0,1223.0,5.1,Analyze,Moderate
Compare and contrast the primary theories of Reported Speech.,English,Reported Speech,97.35,0.95,1954.0,1856.0,19.0,Evaluate,Easy
Describe the mechanism behind Discrete Math.,Mathematics,Discrete Math,95.99,0.96,2129.0,2043.0,3.7,Understand,Easy
Execute a procedure based on Calculus guidelines.,Mathematics,Calculus,68.64,0.69,1060.0,727.0,6.1,Apply,Medium
State the primary theorem in Quantum Mechanics.,Physics,Quantum Mechanics,33.79,0.34,783.0,264.0,13.6,Remember,Hard
Use the standard model of Calculus to predict future states.,Mathematics,Calculus,70.68,0.71,929.0,656.0,6.0,Apply,Moderate
Summarize the key findings related to Public Finance.,Economics,Public Finance,56.56,0.57,1963.0,1110.0,5.1,Understand,Medium
Describe the mechanism behind Genetics.,Biology,Genetics,78.52,0.79,1695.0,1330.0,2.5,Understand,Easy
Assess the validity of the dominant theory in Genetics.,Biology,Genetics,10.73,0.11,1031.0,110.0,14.2,Evaluate,Hard
Deconstruct the arguments surrounding Optimization in contemporary literature.,Mathematics,Optimization,92.16,0.92,1531.0,1410.0,1.2,Analyze,Easy
Analyze the relationship between Public Finance and related phenomena.,Economics,Public Finance,71.95,0.72,2323.0,1671.0,11.7,Analyze,Medium
State the primary theorem in Physiology.,Biology,Physiology,76.69,0.77,1592.0,1220.0,4.7,Remember,Easy
Calculate the expected outcome using principles of Quantum Mechanics.,Physics,Quantum Mechanics,69.37,0.69,1752.0,1215.0,9.0,Apply,Medium
Execute a procedure based on Optimization guidelines.,Mathematics,Optimization,29.61,0.3,1083.0,320.0,13.9,Apply,Hard
A student performs an experiment on Python Lists and Tuples. What observations would they record?,Computer Science,Python Lists and Tuples,49.3,0.49,190.0,93.0,7.0,Apply,Medium
Examine the underlying metrics of Cell Biology.,Biology,Cell Biology,68.39,0.68,1802.0,1232.0,9.9,Analyze,Medium
List the main components of Calculus.,Mathematics,Calculus,25.77,0.26,1088.0,280.0,18.9,Remember,Hard
Apply the concepts of Quantum Mechanics to a real-world scenario.,Physics,Quantum Mechanics,76.32,0.76,1557.0,1188.0,3.8,Apply,Easy
Examine the underlying metrics of Public Finance.,Economics,Public Finance,66.92,0.67,1602.0,1072.0,9.8,Analyze,Medium
What is the significance of Reported Speech in modern English research? - Perspective 433,English,Reported Speech,22.32,0.22,808.0,177.0,11.0,Evaluate,Moderate
How has the understanding of Discrete Mathematics evolved since the 20th century? - Perspective 650,Mathematics,Discrete Mathematics,9.6,0.11,179.0,19.0,13.0,Remember,Hard
Identify the key characteristics of Macroeconomics.,Economics,Macroeconomics,82.8,0.83,1722.0,1425.0,1.9,Remember,Easy
Synthesize a new framework combining Probability with external disciplines.,Mathematics,Probability,38.09,0.38,2055.0,782.0,17.6,Create,Hard
Analyze the relationship between Data Structures and related phenomena.,Computer Science,Data Structures,62.71,0.63,1423.0,892.0,9.1,Analyze,Moderate
Formulate a hypothesis regarding the future trajectory of Cell Biology.,Biology,Cell Biology,46.5,0.46,2307.0,1072.0,9.1,Create,Medium
Summarize the key findings related to Genetics.,Biology,Genetics,66.67,0.67,1872.0,1248.0,5.3,Understand,Medium
List the main components of Optics.,Physics,Optics,77.89,0.78,1424.0,1109.0,3.0,Remember,Easy
Interpret the significance of Classical Mechanics in Physics.,Physics,Classical Mechanics,70.36,0.7,1154.0,812.0,10.8,Understand,Moderate
Compare and contrast the primary approaches to Algorithms.,Computer Science,Algorithms,41.76,0.42,1835.0,766.0,10.9,Analyze,Medium
Discuss the foundational theories of Quantum Mechanics.,Physics,Quantum Mechanics,44.19,0.44,1233.0,544.0,9.9,Understand,Medium
Calculate the expected outcome using principles of Electromagnetism.,Physics,Electromagnetism,67.21,0.67,1188.0,798.0,11.1,Apply,Medium
Examine the underlying metrics of Optics.,Physics,Optics,36.55,0.37,1374.0,502.0,19.5,Analyze,Hard
Assess the validity of the dominant theory in Data Structures.,Computer Science,Data Structures,25.87,0.26,1451.0,375.0,18.2,Evaluate,Hard
State the primary theorem in Quantum Mechanics.,Physics,Quantum Mechanics,33.97,0.34,1764.0,599.0,17.2,Remember,Hard
Justify the use of Game Theory over alternative methods.,Economics,Game Theory,60.33,0.6,2099.0,1266.0,6.1,Evaluate,Moderate
Summarize the key findings related to Public Finance.,Economics,Public Finance,90.87,0.91,1732.0,1573.0,4.9,Understand,Easy
Use the standard model of Operating Systems to predict future states.,Computer Science,Operating Systems,95.41,0.95,1605.0,1531.0,4.2,Apply,Easy
State the primary theorem in Evolution.,Biology,Evolution,74.4,0.74,995.0,740.0,10.4,Remember,Medium
Differentiate between the theoretical and practical aspects of Electromagnetism.,Physics,Electromagnetism,74.63,0.75,1465.0,1093.0,5.6,Analyze,Medium
State the primary theorem in Optimization.,Mathematics,Optimization,62.6,0.63,1264.0,791.0,8.5,Remember,Moderate
Synthesize a new framework combining Linear Algebra with external disciplines.,Mathematics,Linear Algebra,28.47,0.28,1879.0,535.0,16.0,Create,Hard
Formulate a hypothesis regarding the future trajectory of Macroeconomics.,Economics,Macroeconomics,17.73,0.18,1148.0,203.0,18.0,Create,Hard
Compare and contrast the primary approaches to Algorithms.,Computer Science,Algorithms,40.82,0.41,1608.0,656.0,8.2,Analyze,Moderate
Explain how Electromagnetism functions in modern applications.,Physics,Electromagnetism,36.34,0.36,1618.0,588.0,21.1,Understand,Hard
Analyze the relationship between Econometrics and related phenomena.,Economics,Econometrics,66.84,0.67,1719.0,1149.0,10.2,Analyze,Moderate
Calculate the expected outcome using principles of Econometrics.,Economics,Econometrics,48.31,0.48,1843.0,890.0,11.1,Apply,Medium
Propose a new architecture integrating Machine Learning.,Computer Science,Machine Learning,65.59,0.66,2065.0,1354.0,5.6,Create,Moderate
Calculate the expected outcome using principles of Networking.,Computer Science,Networking,48.1,0.48,2193.0,1054.0,8.5,Apply,Medium
Discuss the foundational theories of Optimization.,Mathematics,Optimization,86.99,0.87,2302.0,2002.0,1.9,Understand,Easy
Deconstruct the arguments surrounding Macroeconomics in contemporary literature.,Economics,Macroeconomics,46.58,0.47,477.0,222.0,6.8,Analyze,Moderate
Synthesize a new framework combining Evolution with external disciplines.,Biology,Evolution,37.04,0.37,1898.0,702.0,15.1,Create,Hard
Critique the methodology used to study Econometrics.,Economics,Econometrics,17.23,0.17,1124.0,193.0,19.5,Evaluate,Hard
Outline the historical development of Data Mining concepts.,Computer Science,Data Mining,57.09,0.55,1733.0,953.0,11.0,Apply,Moderate
Execute a procedure based on Quantum Mechanics guidelines.,Physics,Quantum Mechanics,49.66,0.5,1931.0,958.0,5.7,Apply,Medium
Demonstrate the use of Electromagnetism in solving a standard Physics problem.,Physics,Electromagnetism,83.48,0.83,1547.0,1291.0,3.1,Apply,Easy
Discuss the foundational theories of Networking.,Computer Science,Networking,85.16,0.85,1785.0,1520.0,2.7,Understand,Easy
Calculate the expected outcome using principles of Genetics.,Biology,Genetics,19.53,0.2,836.0,163.0,15.0,Apply,Hard
Describe the mechanism behind Optics.,Physics,Optics,97.23,0.97,1560.0,1516.0,3.9,Understand,Easy
Propose a new architecture integrating Algorithms.,Computer Science,Algorithms,64.68,0.65,803.0,519.0,9.7,Create,Moderate
